course_code,day,slot_index,halls
COURSE_EE2238133323,3,2,L-11
COURSE_F8FF4AFC0BCD,3,2,"AB-1-108, AB-1-308"
COURSE_099DA73E98E3,4,1,AB-2-402
COURSE_1C5D6A56EC25,4,1,AB-3-402
COURSE_49EFDEC4AD22,4,1,AB-2-401
COURSE_6513E08F6B17,4,1,AB-3-403
COURSE_691E308022A0,4,1,"AB-1-108, AB-1-308"
COURSE_9031CEDB50FD,4,1,L-10
COURSE_9C6DF318F006,4,1,"AB-2-403, AB-2-404"
COURSE_EB9466FE229C,4,1,L-9
COURSE_2B7ADA67C898,4,2,AB-3-401
COURSE_48F4CC02AA5A,4,2,L-5
COURSE_69DBF44B3D90,4,2,"L-6, L-7, L-8, L-9"
COURSE_91BFF3B09E00,4,2,L-1
COURSE_FF52A456A828,4,2,"AB-2-401, AB-2-403, AB-2-404"
COURSE_2A9F8630D88C,5,1,"AB-3-401, AB-3-402"
COURSE_2AB210BBEC8C,5,1,AB-1-A1
COURSE_4F3752CD456B,5,1,AB-2-402
COURSE_6913DA13F5CD,5,1,"AB-2-401, AB-2-403, AB-2-404"
COURSE_8E37B7465CFD,5,1,AB-3-403
COURSE_986F248A2D8A,5,1,"L-6, L-7, L-8, L-9"
COURSE_BA20CD16DF25,5,1,"AB-1-108, AB-1-308"
COURSE_6BF0AA9F243F,5,2,AB-1-A1
COURSE_6F2977CBA34F,5,2,"AB-2-401, AB-2-404"
COURSE_9A1418F9C846,5,2,AB-2-402
COURSE_AFF1D77BF8D8,5,2,"AB-3-401, AB-3-402"
COURSE_C40C59E77909,5,2,L-3
COURSE_CCB0EDDCF252,5,2,L-1
COURSE_F2EB940C16DE,5,2,"L-7, L-8, L-9"
COURSE_FCF20E6D19D8,5,2,L-10
COURSE_157E49E5EB6E,6,1,"AB-3-401, AB-3-402"
COURSE_6AEB8553B28E,6,1,"AB-1-108, AB-1-308"
COURSE_BAFD130A3032,6,1,"AB-1-A1, AB-1-A2"
COURSE_E00D02523E87,6,1,"AB-2-401, AB-2-404"
COURSE_F911ACEAA7B5,6,1,"L-7, L-8, L-9"
COURSE_4E2B40A02EA8,6,2,L-7
COURSE_4E4632BBE56E,6,2,L-5
COURSE_645A680E52B7,6,2,"AB-1-108, AB-1-308"
COURSE_83D748271771,6,2,AB-3-401
COURSE_C79A295DA02B,6,2,"L-10, L-8"
COURSE_EC38A741879B,6,2,"AB-2-401, AB-2-402, AB-2-403"
COURSE_F1CDD3F613DA,6,2,AB-2-404
COURSE_1EB8DABCEE22,7,1,"AB-1-108, AB-1-308"
COURSE_3A566B2FDF91,7,1,"AB-2-401, AB-2-402, AB-2-403, AB-2-404"
COURSE_47510C7D6B2A,7,1,L-5
COURSE_A419E04C917F,7,1,"L-6, L-7, L-8, L-9"
COURSE_B4B5B8E85C6D,7,1,"AB-1-A1, AB-1-A2"
COURSE_D5557C5D2419,7,1,AB-3-402
COURSE_0186BC3B6640,7,2,AB-3-401
COURSE_121C1E5CA81A,7,2,AB-2-401
COURSE_2272A89A56F1,7,2,L-3
COURSE_355947D15102,7,2,"AB-2-403, AB-2-404"
COURSE_88B5D984C554,7,2,AB-3-402
COURSE_99173EC7A0C3,7,2,AB-3-403
COURSE_9F8E7511D62C,7,2,"L-7, L-8, L-9"
COURSE_250D49A6137B,8,1,"AB-3-401, AB-3-402"
COURSE_28DA87BD0111,8,1,"L-7, L-8, L-9"
COURSE_3444FA0063FE,8,1,"AB-1-108, AB-1-308"
COURSE_66A6CAFEFBDE,8,1,L-3
COURSE_81A8D508C067,8,1,AB-2-403
COURSE_8928BF411C22,8,1,"AB-1-A1, AB-1-A2"
COURSE_C0809A768480,8,1,"AB-2-401, AB-2-402"
COURSE_0173213F93B6,8,2,"L-11, L-7"
COURSE_0D5AE07010E3,8,2,AB-2-402
COURSE_165B6EC64386,8,2,"L-1, L-5"
COURSE_195AC942FF0E,8,2,"AB-1-108, AB-1-308"
COURSE_19554970F628,9,1,L-5
COURSE_30902F436CC4,9,1,AB-1-A1
COURSE_5CB16CB795C3,9,1,"AB-3-401, AB-3-402"
COURSE_6AE5916D0725,9,1,"L-10, L-7"
COURSE_6E363D600BA1,9,1,"L-6, L-8, L-9"
COURSE_81AC608D129E,9,1,AB-1-A2
COURSE_AFFC57FABE98,9,1,"AB-2-401, AB-2-403, AB-2-404"
COURSE_F34ADCCF6010,9,1,L-11
COURSE_3895DF1B2396,9,2,"L-10, L-11, L-6, L-7, L-8"
COURSE_58B4C3685A81,9,2,L-3
COURSE_81F8284E70A1,9,2,"AB-1-A1, AB-1-A2"
COURSE_91D914364C5C,9,2,AB-1-108
COURSE_9E6B1F18531F,9,2,"AB-3-401, AB-3-402"
COURSE_D4B30433AFFD,9,2,"AB-2-401, AB-2-402, AB-2-403, AB-2-404"
COURSE_2962003E8EB8,10,1,"L-6, L-7, L-8, L-9"
COURSE_3F1B1281DACC,10,1,"L-10, L-11"
COURSE_847CF537763E,10,1,AB-3-401
COURSE_9B598F9EC811,10,1,AB-1-108
COURSE_DF6FC470A7CD,10,1,"AB-2-401, AB-2-402"
COURSE_1AA20669074A,10,2,AB-1-108
COURSE_383B6165A0C6,10,2,"AB-1-A1, AB-1-A2"
COURSE_4457B1DB75EA,10,2,"AB-3-401, AB-3-402, AB-3-403"
COURSE_5429497A358D,10,2,AB-2-404
COURSE_5DB4771B0A79,10,2,L-5
COURSE_653E100DE826,10,2,L-9
COURSE_A50759E88C40,10,2,AB-1-308
COURSE_BF0C1E79B695,10,2,AB-2-401
